O*NET-SOC Code	Alternate Title	Short Title	Source(s)
43-5071.00	Fruit Receiver	n/a	04,06
43-5071.00	Fuel Oil Clerk	n/a	04,06
43-5071.00	Fulfillment Mail Clerk	n/a	01
43-5071.00	Garment Sorter	n/a	04,06
43-5071.00	Grain Elevator Clerk	n/a	04,06,08
43-5071.00	Gun Repair Clerk	n/a	08
43-5071.00	Incoming Freight Clerk	n/a	04,06
43-5071.00	Industrial Order Clerk	n/a	08
43-5071.00	Inventory Control Clerk	n/a	04
43-5071.00	Inventory Taker	n/a	04
43-5071.00	Materials Control Associate	n/a	02
43-5071.00	Materials Processor	n/a	08
43-5071.00	Milk Receiver	n/a	04,06
43-5071.00	Order Clerk	n/a	08
43-5071.00	Order Fulfillment Specialist	n/a	02
43-5071.00	Package Sorter	n/a	04,06
43-5071.00	Paper Control Clerk	n/a	04,06
43-5071.00	Piggyback Clerk	n/a	04,06
43-5071.00	Postal Stationery Envelope Sales and Services Associate (PSE Sales and Services Associate)	PSE Sales and Services Associate	10
43-5071.00	Receiver	n/a	02,04,09,10
43-5071.00	Receiving Associate	n/a	02,10
43-5071.00	Receiving Clerk	n/a	02,04,10
43-5071.00	Receiving Coordinator	n/a	02
43-5071.00	Reconsignment Clerk	n/a	04,06,08
43-5071.00	Retail Receiving Associate	n/a	10
43-5071.00	Return to Factory Clerk	n/a	04,06
43-5071.00	Route Delivery Clerk	n/a	04,06
43-5071.00	Routing Clerk	n/a	08
43-5071.00	Sheet Writer	n/a	04,06
43-5071.00	Ship Runner	n/a	04,06,08
43-5071.00	Shipper	n/a	02,04,06,09,10
43-5071.00	Shipping and Receiving Clerk	n/a	04,10
43-5071.00	Shipping and Receiving Warehouse Associate	n/a	10
43-5071.00	Shipping Checker	n/a	08
43-5071.00	Shipping Clerk	n/a	02,04,08,10
43-5071.00	Shipping Coordinator	n/a	02,09,10
43-5071.00	Shipping Order Clerk	n/a	04,06
43-5071.00	Shipping Packer	n/a	04,06
43-5071.00	Stock Receiver	n/a	04,06
43-5071.00	Store Receiver	n/a	01
43-5071.00	Store Receiving Clerk	n/a	04
43-5071.00	Switching Clerk	n/a	04,06
43-5071.00	Tool Crib Attendant	n/a	04
43-5071.00	Traffic Assistant	n/a	02
43-5071.00	Traffic Coordinator	n/a	02,10
43-5071.00	Traffic Recorder	n/a	04,06
43-5071.00	Traffic Worker	n/a	04
43-5071.00	Truckload Checker	n/a	08
43-5071.00	Vault Person	n/a	04,06
43-5071.00	Vault Worker	n/a	08
43-5071.00	Warehouse Receiver	n/a	10
43-5111.00	Aircraft Shipping Checker	n/a	08
43-5111.00	Balance Weigher	n/a	04,06
43-5111.00	Bean Weigher	n/a	04,06
43-5111.00	Billet Checker	n/a	04,06
43-5111.00	Booking Prizer	n/a	08
43-5111.00	Box Car Checker	n/a	04,06
43-5111.00	Brand Recorder	n/a	08
43-5111.00	Broadcast Checker	n/a	04,06
43-5111.00	Bullion Weigher	n/a	04,06
43-5111.00	Cane Weigher	n/a	04,06
43-5111.00	Cargo Checker	n/a	04,06,08
43-5111.00	Case Checker	n/a	04,06
43-5111.00	Charge Weigher	n/a	04,06
43-5111.00	Check Weigher	n/a	06
43-5111.00	Checker	n/a	04,08,10
43-5111.00	Cheese Weigher	n/a	04,06
43-5111.00	Chemical Weigher	n/a	04,06
43-5111.00	City Weighmaster	n/a	04,06
43-5111.00	Clerical Car Checker	n/a	04,06
43-5111.00	Coal Weigher	n/a	04,06
43-5111.00	Cotton Acreage Measurer	n/a	04,06
43-5111.00	Cotton Sampler	n/a	08
43-5111.00	Counter	n/a	04,06
43-5111.00	Counter Weigher	n/a	04,06
43-5111.00	Cycle Counter	n/a	02,09,10
43-5111.00	Data Collector	n/a	10
43-5111.00	Dump Grounds Checker	n/a	08
43-5111.00	Field Cane Scale Clerk	n/a	06
43-5111.00	Field Cane Scaler	n/a	06
43-5111.00	Field Checker	n/a	06
43-5111.00	Field Recorder	n/a	04,06
43-5111.00	Fish Checker	n/a	04,06
43-5111.00	Fluid Operator	n/a	02
43-5111.00	Freight Checker	n/a	04,06
43-5111.00	Freight Tallier	n/a	04,06
43-5111.00	Freight Weigher	n/a	04,06
43-5111.00	Gin Clerk	n/a	04,06,08
43-5111.00	Gravel Weigher	n/a	04,06
43-5111.00	Grey Stock Recorder	n/a	04,06
43-5111.00	Ham Clerk	n/a	04,06
43-5111.00	Harvest Field Ticketer	n/a	06
43-5111.00	Hogshead Weigher	n/a	04,06
43-5111.00	Hub Inventory Specialist	n/a	10
43-5111.00	Industrial Order Clerk	n/a	04,06
43-5111.00	Ingot Weigher	n/a	04,06
43-5111.00	Inventory Analyst	n/a	10
43-5111.00	Inventory Checker	n/a	04,06
43-5111.00	Inventory Control Specialist	n/a	10
43-5111.00	Inventory Controller	n/a	10
43-5111.00	Inventory Cycle Counter	n/a	10
43-5111.00	Inventory Management Specialist	n/a	10
43-5111.00	Inventory Merchandise Specialist	n/a	10
43-5111.00	Inventory Specialist	n/a	02,10
43-5111.00	Juice Scaleman	n/a	04,06
43-5111.00	Juice Weigher	n/a	04
43-5111.00	Land Checker	n/a	04,06
43-5111.00	Linen Checker	n/a	04,06
43-5111.00	Load Checker	n/a	04,06
43-5111.00	Loaf Counter	n/a	04,06
43-5111.00	Lorry Weigher	n/a	04,06
43-5111.00	Lumber Checker	n/a	04,06
43-5111.00	Lumber Scaler	n/a	08
43-5111.00	Lumber Tallier	n/a	04,06
43-5111.00	Material Checker	n/a	04,06
43-5111.00	Materials Specialist	n/a	10
43-5111.00	Measuring Clerk	n/a	04,06
43-5111.00	Metal Weigher	n/a	04,06
43-5111.00	Milk Receiver	n/a	08
43-5111.00	Milk Sampler	n/a	04,06,08
43-5111.00	Mold Checker	n/a	04,06
43-5111.00	Order Checker	n/a	04,06
43-5111.00	Paper Sample Clerk	n/a	04,06,08
43-5111.00	Petroleum Inspector	n/a	04,06
43-5111.00	Produce Weigher	n/a	04,06,08
43-5111.00	Public Weigher	n/a	04,06
43-5111.00	Quality Assurance Inspector (QA Inspector)	QA Inspector	02
43-5111.00	Quality Control Clerk	n/a	04,06
43-5111.00	Quality Controller	n/a	09
43-5111.00	Quality Inspector	n/a	02,08
43-5111.00	Railroad Car Checker	n/a	04,06
43-5111.00	Raw Scales Operator	n/a	04,06
43-5111.00	Receiving Checker	n/a	04,06,08
43-5111.00	Receiving Dock Checker	n/a	04,06
43-5111.00	Receiving Inspector	n/a	04,06
43-5111.00	Recorder	n/a	04,06,08
43-5111.00	Retail Inventory Specialist	n/a	10
43-5111.00	Roll Weigher	n/a	04,06
43-5111.00	Sample Checker	n/a	04,06,08
43-5111.00	Sample Clerk	n/a	08
43-5111.00	Sample Display Preparer	n/a	08
43-5111.00	Sample Worker	n/a	08
43-5111.00	Sawmill Tally Clerk	n/a	04,06
43-5111.00	Scale Agent	n/a	04,06
43-5111.00	Scale Attendant	n/a	04,06
43-5111.00	Scale Clerk	n/a	02,04,06
43-5111.00	Scale Operator	n/a	02,04,06,10
43-5111.00	Scalehouse Attendant	n/a	02,10
43-5111.00	Scaleman	n/a	04,06
43-5111.00	Scaler	n/a	04,06
43-5111.00	Shipping and Receiving Weigher	n/a	08
43-5111.00	Shipping Checker	n/a	04,06
43-5111.00	Stacker	n/a	08
43-5111.00	Supply Clerk	n/a	02
43-5111.00	Supply Technician	n/a	10
43-5111.00	Swatch Clerk	n/a	08
43-5111.00	Tallier	n/a	04,06,08
43-5111.00	Tally Clerk	n/a	04,06
43-5111.00	Tank Calibrator	n/a	08
43-5111.00	Tank Truck Milk Receiver	n/a	08
43-5111.00	Tare Man	n/a	06
43-5111.00	Tare Weigher	n/a	04,06,08
43-5111.00	Tare Worker	n/a	04
43-5111.00	Temperature Taker	n/a	02
43-5111.00	Ticket Puller	n/a	08
43-5111.00	Ticket Worker	n/a	04,06,08
43-5111.00	Tobacco Acreage Measurer	n/a	04,06
43-5111.00	Tool Checker	n/a	04,06
43-5111.00	Toolroom Checker	n/a	04,06
43-5111.00	Traffic Checker	n/a	04,06
43-5111.00	Traffic Counter	n/a	04,06
43-5111.00	Unit Control Clerk	n/a	04,06
43-5111.00	Unit Control Worker	n/a	04,06
43-5111.00	Unit Controller	n/a	04,06
43-5111.00	Unitizer	n/a	04,06
43-5111.00	Unloading Checker	n/a	04,06
43-5111.00	Warehouse Checker	n/a	04,06
43-5111.00	Warehouse Inventory Specialist	n/a	10
43-5111.00	Weighing Station Operator	n/a	04,06
43-5111.00	Weighmaster	n/a	02,04,06
43-5111.00	Weight and Balance Control Agent	n/a	04
43-5111.00	Weighter	n/a	04,06
43-5111.00	Wheel Press Clerk	n/a	08
43-5111.00	Wool Sampler	n/a	04,06,08
43-5111.00	Yarn Weigher	n/a	04,06
43-6011.00	Administrative Aide	n/a	02,04,06
43-6011.00	Administrative Assistant	n/a	02
43-6011.00	Administrative Associate	n/a	02,09
43-6011.00	Administrative Coordinator	n/a	02
43-6011.00	Administrative Liaison	n/a	09
43-6011.00	Administrative Office Assistant	n/a	09
43-6011.00	Administrative Office Specialist	n/a	02
43-6011.00	Administrative Officer	n/a	02
43-6011.00	Administrative Secretary	n/a	02,08
43-6011.00	Administrative Services Assistant	n/a	02
43-6011.00	Administrative Specialist	n/a	02
43-6011.00	Administrative Support Specialist	n/a	09
43-6011.00	Clerical Specialist	n/a	08
43-6011.00	Confidential Secretary	n/a	02
43-6011.00	Corporate Secretary	n/a	09
43-6011.00	Director's Assistant	n/a	10
43-6011.00	Executive Administrative Assistant	n/a	02,10
43-6011.00	Executive Administrator	n/a	08
43-6011.00	Executive Assistant	n/a	02,04,10
43-6011.00	Executive Office Assistant	n/a	10
43-6011.00	Executive Secretary	n/a	02,10
43-6011.00	Executive Staff Assistant	n/a	09
43-6011.00	Financial Secretary	n/a	09
43-6011.00	Human Resources Executive Assistant (HR Executive Assistant)	HR Executive Assistant	10
43-6011.00	Management Assistant	n/a	02
43-6011.00	Office Administrator	n/a	02
43-6011.00	Office Assistant	n/a	02
43-6011.00	Personal Assistant	n/a	08
43-6011.00	Personal Secretary	n/a	02
43-6011.00	President's Assistant	n/a	02,10
43-6011.00	Program Support Assistant	n/a	09
43-6011.00	Program Support Specialist	n/a	09
43-6011.00	Project Assistant	n/a	08
43-6011.00	Protocol Officer	n/a	09
43-6011.00	Scheduler	n/a	08
43-6011.00	Staff Assistant	n/a	02
43-6011.00	Trust Manager Assistant	n/a	08
43-6011.00	VP Assistant (Vice President's Assistant)	VP Assistant	10
43-6011.00	VP Secretary (Vice President Secretary)	VP Secretary	02
43-6012.00	Accredited Legal Secretary	n/a	04
43-6012.00	Certified Legal Secretary Specialist	n/a	04
43-6012.00	Confidential Secretary	n/a	02
43-6012.00	Coordinating Legal Practice Assistant	n/a	02
43-6012.00	Judicial Administrative Assistant	n/a	02
43-6012.00	Law Firm Administrator	n/a	10
43-6012.00	Law Office Assistant	n/a	10
43-6012.00	Law Secretary	n/a	04,06
43-6012.00	Legal Administrative Assistant	n/a	02,04,09
43-6012.00	Legal Administrative Secretary	n/a	02
43-6012.00	Legal Coordinator	n/a	02
43-6012.00	Legal Executive Assistant	n/a	10
43-6012.00	Legal Office Support Assistant	n/a	02
43-6012.00	Legal Receptionist	n/a	10
43-6012.00	Legal Secretary	n/a	02,10
43-6012.00	Litigation Legal Secretary	n/a	10
43-6012.00	Litigation Secretary	n/a	10
43-6012.00	Magistrate Assistant	n/a	02
43-6012.00	Paralegal Secretary	n/a	08
43-6012.00	Secretary	n/a	02
43-6013.00	Administrative Support Specialist	n/a	09
43-6013.00	Appointment Scheduler	n/a	08
43-6013.00	Certified Medical Administrative Assistant (CMMA)	CMMA	09
43-6013.00	Client Service Coordinator	n/a	10
43-6013.00	Clinic Office Assistant	n/a	02
43-6013.00	Dental Front Desk Receptionist	n/a	10
43-6013.00	Dental Receptionist	n/a	02,10
43-6013.00	Dental Secretary	n/a	04,06
43-6013.00	Front Desk Agent	n/a	10
43-6013.00	Front Desk Receptionist	n/a	02
43-6013.00	Guest Service Representative	n/a	10
43-6013.00	Hospital Admissions Clerk	n/a	08
43-6013.00	Hospital Receptionist	n/a	09
43-6013.00	Hospital Secretary	n/a	04,09
43-6013.00	Hospital Unit Clerk	n/a	09
43-6013.00	Insurance Verifier	n/a	09
43-6013.00	Intake Coordinator	n/a	10
43-6013.00	Medical Administrative Assistant	n/a	04,06,10
43-6013.00	Medical Administrative Specialist	n/a	09
43-6013.00	Medical Biller Coder	n/a	09
43-6013.00	Medical Billing Coder	n/a	09
43-6013.00	Medical Billing Specialist	n/a	09
43-6013.00	Medical Front Desk Receptionist	n/a	10
43-6013.00	Medical Front Desk Specialist	n/a	09
43-6013.00	Medical Office Clerk	n/a	08
43-6013.00	Medical Office Receptionist	n/a	09,10
43-6013.00	Medical Office Secretary	n/a	09
43-6013.00	Medical Office Specialist	n/a	02,08,10
43-6013.00	Medical Office Worker	n/a	09
43-6013.00	Medical Receptionist	n/a	02,10
43-6013.00	Medical Records Clerk	n/a	08
43-6013.00	Medical Scheduler	n/a	09
43-6013.00	Medical Secretary	n/a	02,10
43-6013.00	Physician Office Specialist	n/a	02
43-6013.00	Psychiatric Secretary	n/a	04,06
43-6013.00	Scheduler	n/a	02,10
43-6013.00	Secretary	n/a	02
43-6013.00	Surgery Scheduler	n/a	09,10
43-6013.00	Unit Clerk	n/a	02,10
43-6013.00	Unit Support Representative	n/a	02
43-6013.00	Verification Specialist	n/a	09
43-6013.00	Ward Clerk	n/a	02
43-6013.00	Ward Secretary	n/a	02,04,06
43-6014.00	Administrative Assistant (Admin Assistant)	Admin Assistant	02,09,10
43-6014.00	Administrative Associate	n/a	02,09
43-6014.00	Administrative Clerk	n/a	02
43-6014.00	Administrative Coordinator	n/a	02,10
43-6014.00	Administrative Liaison	n/a	09
43-6014.00	Administrative Resources Associate	n/a	02
43-6014.00	Administrative Secretary (Admin Secretary)	Admin Secretary	02
43-6014.00	Administrative Specialist (Admin Specialist)	Admin Specialist	02,10
43-6014.00	Administrative Support Assistant (ASA)	ASA	02
43-6014.00	Administrative Support Specialist	n/a	09
43-6014.00	Administrative Technician	n/a	02
43-6014.00	Alumni Secretary	n/a	04
43-6014.00	Appointment Scheduler	n/a	09
43-6014.00	Clerical Secretary	n/a	09
43-6014.00	Clerk Secretary	n/a	04
43-6014.00	Department Secretary	n/a	02,04
43-6014.00	Escrow Assistant	n/a	09
43-6014.00	Escrow Secretary	n/a	04
43-6014.00	Front Desk Coordinator	n/a	10
43-6014.00	Office Administrator	n/a	02
43-6014.00	Office Assistant	n/a	02,08,09
43-6014.00	Office Secretary	n/a	02,04
43-6014.00	Operations Assistant	n/a	08
43-6014.00	Personal Assistant	n/a	10
43-6014.00	Personal Secretary	n/a	04
43-6014.00	Police Administrative Assistant	n/a	03
43-6014.00	Program Assistant	n/a	10
43-6014.00	Real Estate Administrative Assistant	n/a	04
43-6014.00	Scheduling Coordinator	n/a	10
43-6014.00	School Attendance Secretary	n/a	02,04
43-6014.00	School Secretary	n/a	02,04,08
43-6014.00	Secretary	n/a	02,04,08,09,10
43-6014.00	Staff Assistant	n/a	02
43-9021.00	Adjusto-Writer Operator	n/a	04,06
43-9021.00	Automatic Operator	n/a	04,06
43-9021.00	Braille Operator	n/a	04,06,08
43-9021.00	Braille Transcriber	n/a	03
43-9021.00	Braille Typist	n/a	08
43-9021.00	Card Puncher	n/a	04,06
43-9021.00	Card Punching Machine Operator	n/a	04,06
43-9021.00	Check Processor	n/a	09
43-9021.00	Claims Support Specialist	n/a	02
43-9021.00	Cold Type Composing Machine Operator	n/a	04,06
43-9021.00	Compugraph Operator	n/a	04,06
43-9021.00	Computer Aide	n/a	06
43-9021.00	Computer Clerk	n/a	04,06
43-9021.00	Computer Typesetter	n/a	04,06
43-9021.00	Cryptographic Clerk	n/a	04,06
43-9021.00	Cryptographic Machine Operator	n/a	04,06
43-9021.00	Customs Entry Clerk	n/a	04,09
43-9021.00	Data Capture Clerk	n/a	08
43-9021.00	Data Capture Specialist	n/a	02
43-9021.00	Data Coder Operator	n/a	04,06
43-9021.00	Data Collection Associate	n/a	10
43-9021.00	Data Collector	n/a	10
43-9021.00	Data Entry Assistant	n/a	10
43-9021.00	Data Entry Associate	n/a	02,10
43-9021.00	Data Entry Clerk	n/a	02,04,06,08,10
43-9021.00	Data Entry Email Processor	n/a	10
43-9021.00	Data Entry Machine Operator	n/a	02
43-9021.00	Data Entry Operator	n/a	02,04,06,10
43-9021.00	Data Entry Representative	n/a	10
43-9021.00	Data Entry Specialist	n/a	02,09,10
43-9021.00	Data Entry Technician	n/a	09
43-9021.00	Data Input Clerk	n/a	04,06
43-9021.00	Data Keyer	n/a	04,06
43-9021.00	Data Processing Clerk	n/a	04
43-9021.00	Data Processor	n/a	09
43-9021.00	Data Transcriber	n/a	02
43-9021.00	Data Typist	n/a	04,06
43-9021.00	Electronic Typesetting Machine Operator	n/a	04,06
43-9021.00	Encoder	n/a	04,06
43-9021.00	Encoding Clerk	n/a	04,06
43-9021.00	Flex O Writer Operator	n/a	04
43-9021.00	Key Punch Operator	n/a	04,09
43-9021.00	Keying Machine Operator	n/a	04,06
43-9021.00	Keypunch Operator	n/a	04,06
43-9021.00	Keypuncher	n/a	04,06
43-9021.00	KST Operator (Key Station Terminal Operator)	KST Operator	04,06
43-9021.00	Linecasting Machine Keyboard Operator	n/a	04,06
43-9021.00	Machine Clerical Verifier	n/a	04,06
43-9021.00	Magnetic Tape Composer Operator	n/a	04,06
43-9021.00	Magnetic Tape Selectric Typewriter Operator (MTST Operator)	MTST Operator	04,06
43-9021.00	Magnetic Tape Typewriter Operator	n/a	04,06
43-9021.00	Mail List Processor	n/a	01
43-9021.00	Micro Computer Data Processor	n/a	09
43-9021.00	Multiplex Operator	n/a	04,06
43-9021.00	Office Machine Punch Operator	n/a	04,06
43-9021.00	Perforator Operator	n/a	04,06,08
43-9021.00	Perforator Typist	n/a	04,06,08
43-9021.00	Photocomposing Keyboard Operator	n/a	04,06
43-9021.00	Photocomposing Perforator Machine Operator	n/a	04,06
43-9021.00	Photocomposition Keyboard Operator	n/a	04,06
43-9021.00	Planograph Operator	n/a	04,06
43-9021.00	Punch Card Operator	n/a	04,06
43-9021.00	Records Clerk	n/a	02
43-9021.00	Robotype Operator	n/a	04,06
43-9021.00	Simplex Operator	n/a	04,06
43-9021.00	Strike On Machine Operator	n/a	04,06
43-9021.00	Teleprinter	n/a	04,06
43-9021.00	Teletype Clerk	n/a	04,06
43-9021.00	Teletype Keyboard Operator	n/a	04,06
43-9021.00	Teletype Operator	n/a	04,06
43-9021.00	Teletypewriter Operator	n/a	04,06
43-9021.00	Teletypist	n/a	04,06
43-9021.00	Terminal Make Up Operator	n/a	04,06
43-9021.00	Terminal Operator	n/a	10
43-9021.00	Terminal System Operator	n/a	04,06
43-9021.00	TWX Operator (Teletype Writer Exchange Operator)	TWX Operator	04,06
43-9021.00	Typesetter Operator	n/a	04,06,08
43-9021.00	Underwriting Support Specialist	n/a	02
43-9021.00	Varitype Keyboard Operator	n/a	04,06
43-9021.00	Varitype Operator	n/a	04,06,08
43-9021.00	Varitypist	n/a	04,06
43-9021.00	Verifier Operator	n/a	04,06
43-9021.00	Verifying Machine Operator	n/a	04,06
43-9022.00	Addresser	n/a	08
43-9022.00	Bordereau Clerk	n/a	04,06
43-9022.00	Clerk Specialist	n/a	02
43-9022.00	Clerk Typist	n/a	02,04,06
43-9022.00	Continuity Clerk	n/a	04,06,08
43-9022.00	Court Stenographer	n/a	10
43-9022.00	Data Transcriber	n/a	09
43-9022.00	Dictaphone Typist	n/a	04,06
43-9022.00	Document Processor	n/a	09,10
43-9022.00	Ediphone Operator	n/a	04,06
43-9022.00	Electromatic Typist	n/a	04,06
43-9022.00	Keyboard Specialist	n/a	02
43-9022.00	Legal Transcriptionist	n/a	04,09
43-9022.00	Legal Typist	n/a	10
43-9022.00	Medical Typist	n/a	04,06
43-9022.00	Notereader	n/a	08
43-9022.00	Office Technician	n/a	02,10
43-9022.00	Order Processing Specialist	n/a	10
43-9022.00	Policy Typist	n/a	10
43-9022.00	Policy Writer Typist	n/a	04,06
43-9022.00	Processing Specialist	n/a	10
43-9022.00	Script Girl	n/a	06
43-9022.00	Script Worker	n/a	04
43-9022.00	Statistical Typist	n/a	04,06
43-9022.00	Stencil Typist	n/a	04,06
43-9022.00	Stenographer	n/a	02
43-9022.00	Telegraphic Typewriter Operator	n/a	08
43-9022.00	Transcriber	n/a	10
43-9022.00	Transcribing Machine Operator	n/a	08
43-9022.00	Transcription Typist	n/a	04,06
43-9022.00	Typing Office Tech (Typing Office Technician)	Typing Office Tech	10
43-9022.00	Typing Office Worker	n/a	04,06
43-9022.00	Typist	n/a	02,04,10
43-9022.00	Word Processing Machine Operator	n/a	08
43-9022.00	Word Processing Specialist	n/a	02,09
43-9022.00	Word Processor	n/a	02,04,10
43-9022.00	Word Processor Operator	n/a	09
43-9022.00	Word Processor Technician	n/a	04,06
43-9031.00	Advertising Associate	n/a	02
43-9031.00	Compositor	n/a	02
43-9031.00	Computer Compositor	n/a	04,06
43-9031.00	Computer Publisher	n/a	04,06
43-9031.00	Computer Typesetter	n/a	02
43-9031.00	Design Editor	n/a	02
43-9031.00	Desktop Operator	n/a	02
43-9031.00	Desktop Publisher	n/a	04,09,10
43-9031.00	Desktop Publishing Associate	n/a	10
43-9031.00	Desktop Publishing Specialist	n/a	02,04,10
43-9031.00	Desktop Support Engineer	n/a	01
43-9031.00	Digital Publisher	n/a	10
43-9031.00	Digital Publishing Specialist	n/a	10
43-9031.00	Document Design Specialist	n/a	08
43-9031.00	DTP Operator (Desktop Publishing Operator)	DTP Operator	04
43-9031.00	Electronic Console Display Operator	n/a	02,04
43-9031.00	Electronic Imager	n/a	02,04
43-9031.00	Electronic Pagination System Operator	n/a	04,06
43-9031.00	Electronic Publisher	n/a	04,08
43-9031.00	Electronic Publishing Specialist	n/a	02,04,10
43-9031.00	Magazine Publisher	n/a	09
43-9031.00	Online Publisher	n/a	08
43-9031.00	Page Makeup System Operator	n/a	04,06
43-9031.00	Paginator	n/a	10
43-9031.00	Publisher	n/a	02,10
43-9031.00	Publishing Specialist	n/a	10
43-9041.00	Agency Service Representative (Agency Service Rep)	Agency Service Rep	08
43-9041.00	Billing and Insurance Coordinator	n/a	08
43-9041.00	Cancellation Clerk	n/a	08
43-9041.00	Claims Adjudicator	n/a	02,08
43-9041.00	Claims Analyst	n/a	02
43-9041.00	Claims Assistant	n/a	02,08
43-9041.00	Claims Associate	n/a	08
43-9041.00	Claims Clerk	n/a	02
43-9041.00	Claims Coordinator	n/a	08
43-9041.00	Claims Customer Service Representative (Claims CSR)	Claims CSR	02
43-9041.00	Claims Processing Specialist (CPS)	CPS	02
43-9041.00	Claims Processor	n/a	02
43-9041.00	Claims Representative (Claims Rep)	Claims Rep	02,08,10
43-9041.00	Claims Service Representative (Claims Service Rep)	Claims Service Rep	02,08
43-9041.00	Claims Sorter	n/a	08
43-9041.00	Claims Taker	n/a	08
43-9041.00	Claims Technician (Claims Tech)	Claims Tech	02,08
43-9041.00	Client Process Specialist	n/a	02,08
43-9041.00	Cyber Insurance Policy Specialist	n/a	01
43-9041.00	Dental Insurance Coordinator	n/a	10
43-9041.00	Document Processor	n/a	08
43-9041.00	Document Reviewer	n/a	08
43-9041.00	Enrollment Representative	n/a	02
43-9041.00	Field Claims Representative	n/a	10
43-9041.00	Insurance Analyst	n/a	02
43-9041.00	Insurance Assistant	n/a	08
43-9041.00	Insurance Authorization Specialist	n/a	10
43-9041.00	Insurance Biller	n/a	08
43-9041.00	Insurance Checker	n/a	08
43-9041.00	Insurance Claims Clerk	n/a	04,08
43-9041.00	Insurance Claims Processor	n/a	08
43-9041.00	Insurance Clerk	n/a	02,04,08
43-9041.00	Insurance Coordinator	n/a	08
43-9041.00	Insurance Customer Service Representative (Insurance CSR)	Insurance CSR	02,08
43-9041.00	Insurance Examining Clerk	n/a	04,08
43-9041.00	Insurance Policy Issue Clerk	n/a	04,08
43-9041.00	Insurance Processing Clerk	n/a	08
43-9041.00	Insurance Processor	n/a	08
43-9041.00	Insurance Specialist	n/a	08
43-9041.00	Insurance Verification Specialist	n/a	08
43-9041.00	Liability Claims Representative	n/a	10
43-9041.00	Medical Claims Processor	n/a	10
43-9041.00	Medical Insurance Claims Processor	n/a	08
43-9041.00	Medical Insurance Specialist	n/a	08
43-9041.00	Open Claims Representative (OCR)	OCR	02,08
43-9041.00	Personal Lines Insurance Customer Service Representative (Personal Lines Insurance CSR)	Personal Lines Insurance CSR	08
43-9041.00	Policy Analyst	n/a	02,08
43-9041.00	Policy Change Clerk	n/a	08
43-9041.00	Policy Checker	n/a	08
43-9041.00	Policy Issue Clerk	n/a	08
43-9041.00	Policy Title Typist	n/a	08
43-9041.00	Premium Representative	n/a	08
43-9041.00	Processing Clerk	n/a	02
43-9041.00	Reimbursement Counselor	n/a	08
43-9041.00	Reinsurance Clerk	n/a	08
43-9041.00	Reviewer	n/a	08
43-9041.00	Revival Clerk	n/a	08
43-9041.00	Underwriting Assistant	n/a	02,04,08
43-9041.00	Underwriting Clerk	n/a	02,04,08
43-9051.00	Addressing Machine Operator	n/a	08
43-9051.00	Addressograph Operator	n/a	04,06
43-9051.00	Advertising Inserter	n/a	04,06
43-9051.00	Canceling Machine Operator	n/a	04,06
43-9051.00	Dead Mail Checker	n/a	04,06
43-9051.00	Direct Mail Clerk	n/a	04,08
43-9051.00	Direct Mail Coordinator	n/a	01
43-9051.00	Distribution Clerk	n/a	04,06
43-9051.00	Envelope Sealer Operator	n/a	04,06
43-9051.00	Express Clerk	n/a	08
43-9051.00	Folding Machine Operator	n/a	08
43-9051.00	Hand Inserter Operator	n/a	01
43-9051.00	Inkjet Operator	n/a	01
43-9051.00	Insert Operator	n/a	02
43-9051.00	Inserter Operator	n/a	02,10
43-9051.00	Inserting Machine Operator	n/a	08
43-9051.00	Mail Associate	n/a	10
43-9051.00	Mail Caller	n/a	04,06
43-9051.00	Mail Censor	n/a	04,06
43-9051.00	Mail Clerk	n/a	02,10
43-9051.00	Mail Distributor	n/a	04,06
43-9051.00	Mail Handler	n/a	02
43-9051.00	Mail List Librarian	n/a	01
43-9051.00	Mail List Processor	n/a	01
43-9051.00	Mail Machine Operator	n/a	02
43-9051.00	Mail Opener	n/a	04,06
43-9051.00	Mail Processing Clerk	n/a	02,10
43-9051.00	Mail Processor	n/a	02,10
43-9051.00	Mail Reader	n/a	02
43-9051.00	Mail Room Clerk	n/a	09
43-9051.00	Mail Service Coordinator	n/a	01
43-9051.00	Mail Services Associate	n/a	10
43-9051.00	Mail Sorter	n/a	02,04,06,10
43-9051.00	Mail Technician	n/a	08
43-9051.00	Mail Weigher	n/a	04,06
43-9051.00	Mailer	n/a	08
43-9051.00	Mailer Apprentice	n/a	08
43-9051.00	Mailing Clerk	n/a	04,06
43-9051.00	Mailing Jogger	n/a	01
43-9051.00	Mailing Machine Assistant	n/a	01
43-9051.00	Mailing Machine Helper	n/a	01
43-9051.00	Mailing Machine Operator	n/a	08
43-9051.00	Mailing Specialist	n/a	01
43-9051.00	Mailroom Assistant	n/a	10
43-9051.00	Mailroom Associate	n/a	10
43-9051.00	Mailroom Clerk	n/a	02,04,06,10
43-9051.00	Mailroom Specialist	n/a	10
43-9051.00	Office Copy Selector	n/a	08
43-9051.00	Packaging Clerk	n/a	04
43-9051.00	Packaging Specialist	n/a	04,06
43-9051.00	Parcel Post Clerk	n/a	08
43-9051.00	Pneumatic Tube Operator	n/a	04,06
43-9051.00	Postal Clerk	n/a	02
43-9051.00	Radio Message Router	n/a	04,06
43-9051.00	Registered Mail Clerk	n/a	04,06
